video_id,categoryId,how_fast,amount_trending
0F4jg9To53I,10,0,13
0F9Tfjds_No,10,0,12
0FACIBa9Jfg,22,0,11
0FHuNlJyHhk,25,0,4
0FI64e5JLRI,10,2,12
0FL6zS-Kfck,24,0,6
0FN4Xpk8gZU,24,0,14
0F_QvmClgOU,24,2,12
0Feuchkg5nM,24,0,6
0G4zrI-blrA,24,0,19
0G5eR1vbonM,24,0,10
0GBhExJq_mA,10,0,12
0GMvFahIL7c,24,0,15
0GkkMd7KVu8,15,0,11
0H0BVAFBYaY,23,0,11
0HF4ngbxjFU,23,0,14
0HM6191phwE,24,0,14
0HNSyC9vgSY,25,0,5
0HQyYfbcykU,20,0,6
0Hq7oh3mW48,24,0,13
0I0z3aIwaIU,25,0,4
0I4lHeZ0DxE,24,5,10
0IBknm9JcPs,24,0,11
0IPE_rvPVro,26,1,13
0ItL3I5se34,10,2,13
0IvECzxZKzI,23,0,12
0J9kfF9i2S0,22,0,12
0JQ81Ec_FD8,23,0,10
0JfL3JtlWpk,22,0,11
0K0kOe2z67o,26,0,11
0K1eibE83CU,24,0,9
0K7tnQ-Vaoo,24,1,8
0KF2_fEQUBo,17,0,1
0KZm-1YY-4Q,23,1,16
0K_d7YDaDFI,24,2,1
0Kscnrj4vp4,19,0,14
0L5gAT1fJaM,26,0,11
0LHdbRTnRcc,19,0,18
0LQzsw8uuvw,24,0,11
0LS7H7pJGD8,22,0,10
0LWb75cm1Ng,23,0,3
0LkICBO0XHs,24,0,4
0M3eoL8b5Z8,10,1,8
0M4EFGkzRBQ,10,0,4
0ML8VcGGyvI,24,0,3
0Ml02Bgo8VQ,24,3,16
0N19l0yK6MA,24,0,12
0N5nc-7cLIk,24,0,12
0NEBbjFUxw4,24,0,10
0Nbw3jSafGM,17,0,6
0NjQ5GkJ1X8,23,0,17
0NkxSLp_3jg,17,1,11
0NnWUgtPMlE,17,0,15
0NnYfxk5BdI,24,0,11
0NnpNdBF5r0,23,0,12
0NuTdZ499tM,22,0,19
0NwCKCmf0Qg,24,1,11
0NxucdZ5R0c,22,0,14
0OLxyIlI764,24,0,12
0OMxXgcR5_E,22,0,10
0OOAyYnqAJk,17,0,12
0OliiOgXlJI,10,0,17
0OpTiplY624,24,0,6
0Ot0Sqq0rlo,25,1,8
0OykVuPECqc,19,0,1
0P5-2fKd2oc,22,0,9
0PGes_AgfzQ,17,0,8
0PH__XTeIeI,24,0,11
0PI2sPUc7_k,10,0,7
0PRLe737Pq0,22,0,15
0PmPAxu07qg,28,0,4
0Pu--Gf98xY,23,2,10
0Q6HdY29RVo,24,0,8
0QGdGexplAI,22,0,9
0QJv_kqsA8s,10,0,10
0QUxviC-tpg,24,0,4
0QbRgVooiao,27,1,10
0QhAFleLiVk,24,0,15
0QtH00sr2PA,23,0,10
0R-tkdX8UUw,10,0,11
0R5YYHdFOAY,24,0,16
0RKnjVL2kWA,10,0,16
0RNnyd8tzXY,22,0,10
0RQ2Gr4EB18,28,0,9
0R_-3-gd2UI,25,0,17
0Raw7qlnE6Q,24,1,7
0Rz6NrS1J7Q,24,0,1
0S8XdtmdXK0,17,0,9
0S8hJtBtPA8,1,0,12
0SP17txsCqs,17,1,10
0STHTnJMnSU,24,0,16
0SWs5vfmIEs,24,0,17
0SaGmlCt-3U,20,0,8
0SzJWILhrQs,22,0,9
0T1Jd_zx314,17,1,8
0T8zUERfsyQ,22,0,13
0TAAUWHo4Ec,10,0,16
0TD96VTf0Xs,28,0,9
0TKV3hgjUr0,24,0,10
0TU_fWQ7PtI,1,0,6
0TeYnotdeoE,24,0,7
0Tg9Jfx2qRk,25,0,3
0Tl5rNh5akc,22,0,10
0TmNuK9nD6g,17,0,8
0TqB30Ynfmg,22,0,10
0U0ugCS-8tk,17,0,12
0UNY9osCBGE,24,0,6
0UcVPv-vPYo,24,0,12
0V3ganZyK50,17,0,12
0V7QU7nXKfE,22,0,10
0VEB6IyYv_A,24,0,11
0VG3PbZohX4,22,0,11
0VREgUJrExQ,28,0,7
0Vq9bGt7a7o,23,1,11
0WHN5PIKZ78,22,0,8
0WJ2aKEGzMc,24,0,11
0WMZZt3Zb4w,22,0,9
0WY4QxtHV4U,27,2,14
0WeAk-zWGqw,24,0,8
0WvADd-Q9Xw,24,0,11
0XKv963KAKk,24,0,7
0XlBVnxp8LM,24,0,11
0XrWICeMLDY,10,0,2
0Y-vWqIUyDI,24,0,10
0Y6f2wsq3fM,17,0,10
0YAspcbazf0,22,1,13
0YDmOqcm-FU,17,0,9
0YSbSsKD4V4,24,0,11
0Y_wFZEmKdE,17,0,8
0YbyOvYxg1A,22,0,7
0Yx9_ttU8-4,24,0,10
0Yzm2HGUq9s,24,0,17
0Z9Li1g-oUc,10,0,7
0ZEMmquRk2Q,24,0,11
0ZKbmRJ5kLU,10,0,8
0ZRhylpuqY0,22,0,10
0ZgvxDofA1g,22,0,13
0ZjG3C8rEsw,24,2,14
0ZnW7YjpFyk,24,0,14
0ZntV3hbAgQ,17,0,9
0ZpZrCQGZ_c,24,0,8
0ZzBGmaAF2A,17,0,5
0_1ov03tttE,10,0,13
0_NM0v5Exzc,24,2,7
0_T4JP0Yim8,22,0,6
0_TjzFm6eX8,22,0,7
0_VidMM7ieM,24,0,16
0_ZHdrCpOrs,28,0,6
0_al9dqXXHs,24,0,11
0_dYUwjy4EU,24,0,7
0_g86FJ9Z6s,22,0,6
0_peQVD7oM0,25,0,3
0_re-RWEDjM,10,0,4
0_temt_uhmo,24,0,3
0_uUOnFPi3g,15,0,5
0a41Cxhq6HY,10,0,11
0a9twbi0TYg,26,0,7
0aGm3sfF2QM,22,0,8
0aIQebgJZtw,17,0,11
0aIpzJsupQc,17,0,11
0aQlQA_e4iI,2,0,18
0aaeUI1ucfQ,10,0,9
0ahO7REJaYQ,22,1,8
0b-EatqUvb4,10,0,8
0b6iNT9oiJ8,22,0,12
0bCRXFVshbw,17,0,9
0bE7u9a4ocw,22,0,11
0bEbGEa5JpI,24,0,19
0bIRwBpBcZQ,10,0,17
0be2A-m9cNg,24,0,4
0bhBVFeeMBU,23,0,9
0bnKnsbN6KE,22,0,12
0bypS6W4YZk,24,0,12
0c02zyBNKXE,24,0,12
0c12WNqh6To,25,2,14
0cIvPvOZ_74,17,0,14
0cPAuQKtCQY,23,0,18
0cWKAJFnBVA,24,0,17
0cZ7o0Wn_dc,24,0,17
0cbDWzD6aeU,22,0,12
0ch2JXn0Tv8,17,3,5
0cjo58mfM-g,17,0,12
0cwdiwp-pTs,22,0,9
0cyHM-rBdUE,25,0,1
0d8ywzsq9S4,22,0,10
0dGAhhbybcU,22,0,8
0dnebz7QFNY,26,0,9
0dpYF0ZkxW4,24,0,9
0dsnm3n6ZdM,23,0,6
0e02j8pPI-Y,24,0,12
0eAoKLZjPBY,19,0,13
0eGL28BpDYs,22,0,15
0eVSYmgZgNw,26,0,11
0ejQPIaOe7U,26,0,7
0enfEH9Ndi8,22,0,13
0f2kQLM4yLI,23,0,6
0f4mdGijMhs,22,0,12
0f777ZDa70U,25,0,5
0fQOnf268ow,24,0,12
0fX0A3NRv2k,24,2,4
0fbzK_yADZk,20,0,12
0fpxvwN5c3o,17,1,1
0g63ijZqgjQ,1,0,11
0gV9kQPgPpc,24,0,9
0gcB7IJeGxw,17,0,9
0gkbJ4114RU,24,0,2
0h-MN948Wkc,24,0,11
0hLN-QhbBMA,17,0,10
0hQFW_yFtRY,27,0,8
0hSVpk4kicc,10,0,10
0hV1BmixJyA,20,0,8
0ha0d6ng5Ns,17,0,7
0hmDexsnsXs,17,1,6
0hmr3FRteE4,24,0,16
0hpc2kV7btw,22,0,11
0hztHwSA98c,24,1,12
0i4-DoLNetE,22,1,13
0i5alUZleKs,23,0,6
0i9KzbV560Q,23,0,7
0iMeeet01Mw,22,0,11
0ix6WaMLzLE,23,0,10
0ixcik9VaUw,19,0,12
0iz8-x2KnuU,20,0,10
0j0yuIIoFh4,25,0,14
0j84GbjGeEI,1,2,12
0k8SJJOLapY,10,1,14
0kQBIaIPQ_8,10,1,11
0kQzjDaDxZM,23,0,13
0kRIgSpqhNo,23,0,11
0kSmOY8JVBk,17,0,10
0kbmQSEfqhY,26,0,9
0ksGkaAemsg,24,0,14
0kx9m_s99t4,1,3,13
0l57ts4_txg,27,0,9
0lLNxTHJK-Q,10,2,9
0lSQdDX2Gjg,25,0,4
0lXwMdnpoFQ,22,1,16
0l_tTprpayc,24,0,8
0ld9deREtnE,17,0,9
0lkObivjN6g,26,0,9
0lqr2uXNR2o,10,1,13
0lrN-V5dscg,26,0,8
0m0w1wEReOI,24,5,7
0m35jqaICfA,24,0,11
0m440E1Z_HE,10,0,7
0mK4rIH5Cdw,15,0,8
0myp8MjaxRU,24,0,12
0mz7A1gudGI,28,0,9
0n600ORFys8,24,0,8
0n8su37VyZQ,10,0,8
0nLtWA1Sc6U,10,1,16
0nOW2f2vOcc,25,0,8
0nbdUvC7yvY,10,1,14
0nkjjcB5oZ0,10,0,11
0nnBCGe1V6E,22,0,9
0npT8GmirsQ,24,0,15
0nsO9umdjwE,24,1,14
0oaAKwlwqDU,1,0,2
0ok7NDodpOs,22,0,9
0opKLeNlZ_8,10,1,11
0ovJg6xN1N8,24,0,10
0ozPy6LI1EQ,25,0,12
0pBQMlgJpSk,23,0,8
0pEdCvOri9o,24,0,13
0pW2C-ZjBB0,24,0,10
0pZOIQ9ScFs,24,0,16
0pbbem7Lyf0,23,1,14
0pf_PblRbnI,10,0,13
0pwBFTUJBzQ,10,2,7
0q-EVWcZsBk,22,1,10
0q0kLn7_bHg,26,0,8
0q4KZadrAOk,24,0,11
0q4iJMgbj9k,20,0,12
0qPTP6_LLSA,22,0,10
0qT349AqlUY,24,0,7
0r6bZjTU99w,24,0,10
0rTxdVlvh1E,25,0,10
0rUO0pxJKdw,10,0,3
0rUtqNE8oU0,22,0,8
0rZf95lmq0U,24,0,8
0rgtmJdMg88,25,1,13
0rt-r2mkrTY,25,0,9
0rzJ3Dj-glQ,10,4,8
0s281TZkbKg,24,0,6
0s9O28TTYV0,23,0,13
0sFuY7WD6vQ,24,0,9
0sN2Vb48AcA,20,0,6
0sVCYTpgr1s,22,0,11
0szdNfVoAn0,17,0,7
0tWEAx_Dbg4,23,1,11
0tYFtgKfo6U,23,0,11
0tilOJ46h3c,24,4,5
0tnxFDVqMKY,10,0,5
0tof4Lp1_pA,23,0,4
0u2i09kk1tk,24,1,14
0uJbZttdY2A,17,0,8
0uNJjf9mSis,22,0,11
0uXSVdzFgNg,1,1,12
0udsZIrs0D8,17,1,7
0ufUV6GAt4o,28,0,12
0v51Ndc-908,24,0,11
0vD9w-U5QPY,19,1,13
0vvCe4EHtus,10,0,13
0vyCyUDZ8HY,19,0,14
0wE1kgwewDI,22,0,10
0wLM3ulBzxk,24,1,15
0wOHy9_mROM,25,2,11
0wUIH78Y-Aw,24,0,9
0wV92H2i6EA,22,0,5
0wVT6sMh3oc,22,0,14
0waoOB8_m8s,1,0,10
0wfebXkJ_AI,24,0,10
0wjM1bBMY7s,22,1,14
0wqmQV3-DZg,22,1,14
0wy5pieGFg4,24,0,8
0x-ZaA3VULc,25,0,7
0x9znPzrUvk,20,0,8
0xBu251omcw,24,0,11
0xRdezp7ioc,24,3,4
0xSFPome3Tc,10,0,14
0xT74LSr0yE,22,1,10
0xTBMfJoqEc,24,0,11
0xckfkBis2U,24,0,14
0xdB_vo4r2c,10,0,15
0xpUv8CKRus,24,0,12
0y20QgYmjto,24,0,7
0yEeGgtqo6Q,17,0,6
0yeSNSNHQbU,17,0,5
0yfJ1yYX4QM,24,0,10
0yk7AWzFZUI,10,0,19
0ymNbdlTSv8,17,0,11
0yyqhot0BDc,19,2,12
0zBH6S_1FqE,17,1,7
0zKNWJbsuXE,20,0,9
